IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,color
171200.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.530824762533079,-74.14270339321416,green
171204.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,(sin definir),(sin definir),Río Bogotá,4.516029605486364,-74.14912686751758,green
171210.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.51665431313687,-74.14128740772773,green
171210.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.516283560010455,-74.14111616748636,green
171218.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.51597608343633,-74.14123328287343,green
171372.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO ALTO,,Carbón,Horno,Río Bogotá,4.530960797220908,-74.13825191141156,green
171376.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.530282179260267,-74.14265828905526,green
171570.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Gas,Caldera,Río Bogotá,4.955374410959588,-73.92956321239852,green
172430.0,Seguimiento y Control,Sabana Centro,Cundinamarca,ZIPAQUIRA,Centro    ,,Otros,Horno,Río Bogotá,5.009788663543848,-73.9962884761451,green
172924.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,ACPM,Caldera,Río Bogotá,4.526094739623085,-74.14772213040409,green
173286.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.051780797728392,-73.97197091052757,green
173902.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,Pueblo Viejo,,Carbón,Horno,Río Bogotá,4.922950696435342,-73.95118215031653,green
174480.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,EL OLIVO,,Carbón,Horno,Río Bogotá,5.067159318971524,-73.95194813879871,green
174562.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.522333277103341,-74.14262153423219,green
174768.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,La isla,,Gas,Horno,Río Bogotá,4.750422507990216,-74.18150134396804,green
174782.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.520469975307662,-74.14711785236653,green
174832.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,La Carolina,,Gas,Horno,Río Bogotá,4.925290703351028,-73.94041636598074,green
175104.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Gas,Horno,Río Bogotá,5.038589828443855,-73.93841800424288,green
175380.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.52988273894483,-74.15797713391493,green
176396.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.323226569497588,-73.71852365618248,green
178612.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Panamá,,Gas,HORNO TÚNEL 1 SOACHA 2,Río Bogotá,4.459956039015855,-74.10719670471978,green
181110.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.531258660037451,-74.1445867571135,green
183514.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Trituradora,Río Bogotá,4.66799319038012,-74.27412284038506,green
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.062846259618801,-73.95421250947518,green
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063108431682171,-73.95382468213964,green
183556.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.063470229451343,-73.95423944557243,green
